SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,log10(mmol_solvent/g_Polymer)
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.137781505
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.0139171
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.004848373
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.289352767
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.238460002
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.09948502
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.047755056
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.096545829
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.163913153
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.09079845
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.196259604
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.053495664
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.20346696
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.250319347
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.104182377
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,0.247713694
746.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.007525848,-10.11407366,0.787,32.042,1.609744884,-0.117863326
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.879220486
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.400950736
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.15366565
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.391155495
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.181176373
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.303680394
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.338982153
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.108895818
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.295344
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.031200285
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.035942508
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.155878399
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.152711095
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.96576378
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.908127435
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.038574365
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.890079621
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.997544659
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.825984347
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.012547217
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-1.089469858
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.798971285
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.911052967
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.749897077
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.890106717
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.866791957
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.720659029
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.762497778
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.898753257
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.818042904
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.776725463
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.675309758
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.802767805
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.656103679
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.735936229
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.624583808
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.774536597
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.635957665
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.873908162
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.698650218
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.741949736
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.565110455
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.717305074
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.59983683
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.601726643
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.495173682
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.614202281
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.456700961
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.435893753
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.400143721
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.550696774
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.424178893
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.559333337
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.408542836
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.712162579
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.270724538
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.547377577
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.299939426
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.431168431
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.425430851
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.457564416
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.30899354
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.159641821
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.167155346
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.302635584
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.067578333
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.052183935
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.202099239
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.340247166
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.137781505
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.0139171
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.004848373
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.289352767
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.238460002
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.09948502
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.047755056
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.096545829
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.163913153
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.09079845
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.196259604
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.053495664
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.20346696
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.250319347
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.104182377
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,0.247713694
747.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.025533653,-9.899629455,0.787,32.042,1.609744884,-0.117863326
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.879220486
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.400950736
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.15366565
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.391155495
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.181176373
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.303680394
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.338982153
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.108895818
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.295344
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.031200285
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.035942508
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.155878399
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.152711095
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.96576378
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.908127435
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.038574365
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.890079621
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.997544659
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.825984347
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.012547217
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-1.089469858
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.798971285
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.911052967
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.749897077
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.890106717
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.866791957
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.720659029
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.762497778
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.898753257
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.818042904
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.776725463
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.675309758
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.802767805
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.656103679
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.735936229
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.624583808
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.774536597
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.635957665
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.873908162
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.698650218
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.741949736
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.565110455
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.717305074
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.59983683
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.601726643
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.495173682
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.614202281
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.456700961
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.435893753
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.400143721
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.550696774
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.424178893
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.559333337
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.408542836
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.712162579
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.270724538
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.547377577
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.299939426
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.431168431
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.425430851
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.457564416
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.30899354
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.159641821
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.167155346
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.302635584
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.067578333
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.052183935
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.202099239
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.340247166
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.137781505
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.0139171
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.004848373
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.289352767
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.238460002
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.09948502
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.047755056
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.096545829
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.163913153
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.09079845
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.196259604
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.053495664
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.20346696
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.250319347
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.104182377
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,0.247713694
748.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.043483736,-9.920818754,0.787,32.042,1.609744884,-0.117863326
749.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.048823811,-9.782516056,0.787,32.042,1.609744884,-1.879220486
749.0,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,CO,0.048823811,-9.782516056,0.787,32.042,1.609744884,-1.400950736
