SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,Valid_SMILES,Tg,FFV,Tc,Density,Rg
0,CC(=CC[*])C[*],Brc1ccccc1,1.0,-6.223298816,1.487,157.01,2.023616345,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
1,CC(=CC[*])C[*],C1CCCCC1,1.0,-5.649751982,0.773,84.162,2.036936553,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
2,CC(=CC[*])C[*],C=CCCC,1.0,-6.812479279,0.635,70.135,2.043161076,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
3,CC(=CC[*])C[*],CC(=O)CC(C)C,1.0,-6.503070352,0.796,100.161,2.099785584,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
4,CC(=CC[*])C[*],CC(=O)OCCC(C)C,1.0,-6.565431096,0.876,130.187,2.172063513,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
5,CC(=CC[*])C[*],CC(C)(C)O,1.0,-6.882728704,0.8,74.123,1.966863001,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
6,CC(=CC[*])C[*],CC(C)=O,1.0,-6.478432869,0.784,58.08,1.869710545,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
7,CC(=CC[*])C[*],CC(C)CC(C)(C)C,1.0,-6.387216143,0.69,114.232,2.21893869,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
8,CC(=CC[*])C[*],CC(C)O,1.0,-7.804100348,0.783,60.096,1.885083804,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
9,CC(=CC[*])C[*],CCC(C)(C)O,1.0,-6.752026734,0.805,88.15,2.039426436,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
10,CC(=CC[*])C[*],CCC(C)=O,1.0,-6.063572378,0.799,72.107,1.955430648,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
11,CC(=CC[*])C[*],CCC(CC)CO,1.0,-7.099086932,0.829,102.177,2.090798617,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
12,CC(=CC[*])C[*],CCCC=O,1.0,-7.602059991,0.797,72.107,1.956519106,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
13,CC(=CC[*])C[*],CCCCC,0.0,-6.995678626,0.621,72.151,2.065150755,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
14,CC(=CC[*])C[*],CCCCC,1.0,-6.806875402,0.621,72.151,2.065150755,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
15,CC(=CC[*])C[*],CCCCCC,1.0,-6.050474731,0.656,86.178,2.118492571,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
16,CC(=CC[*])C[*],CCCCCCC,1.0,-5.763768052,0.682,100.205,2.167105018,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
17,CC(=CC[*])C[*],CCCCCCCC,1.0,-6.166215625,0.699,114.232,2.213310605,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
18,CC(=CC[*])C[*],CCCCCCCCC,1.0,-6.355561411,0.7,128.259,2.26298981,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
19,CC(=CC[*])C[*],CCCCCCCCCC,1.0,-6.488116639,0.73,142.286,2.28983931,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
20,CC(=CC[*])C[*],CCCCCCCCCCCC,1.0,-6.68613278,0.745,170.34,2.35916037,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
21,CC(=CC[*])C[*],CCCCCCCCCCCCCC,1.0,-6.835647144,0.758,198.394,2.417859328,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
22,CC(=CC[*])C[*],CCCCCCCCCCCCCCCC,1.0,-7.075720714,0.77,226.448,2.468477764,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
23,CC(=CC[*])C[*],CCCCCO,1.0,-7.259637311,0.811,88.15,2.036201462,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
24,CC(=CC[*])C[*],CCCCO,1.0,-7.368556231,0.806,74.123,1.963617947,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
25,CC(=CC[*])C[*],CCCCOC(C)=O,1.0,-6.37675071,0.876,116.16,2.122552497,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
26,CC(=CC[*])C[*],CCCO,1.0,-7.477555766,0.802,60.096,1.874671198,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
27,CC(=CC[*])C[*],CCCOC(C)=O,1.0,-5.969394431,0.883,102.133,2.063205385,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
28,CC(=CC[*])C[*],CCO,1.0,-7.838631998,0.787,46.069,1.767434053,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
