ID,Name,Polymer_SMILES,Monomer_SMILES_1,Monomer_SMILES_2,Egc,Egb,Eib,CED,Ei,Eea,nc,ne,Xc,Xe,epse_6.0,epsc,epse_3.0,epse_1.78,epse_15.0,epse_4.0,epse_5.0,epse_2.0,epse_9.0,epse_7.0,epsb,TSb,TSy,YM,permCH4,permCO2,permH2,permO2,permN2,permHe,Cp,Td,Tg,Tm,rho,LOI,SELFIES
P070014,"poly(propane-1,2-diol)",CC(C*)O*,CC(O)CO,,6.1364202,6.08409,4.4157605,81.33015,6.919571,0.53682935,1.6732396,1.4727542,36.59115,36.676422,2.6963358,3.4165468,2.8949013,2.972514,2.278264,2.8317513,2.7628667,2.9640768,2.4961271,2.6217134,50.643326,5.7388535,6.813141,181.24597,11.751574,98.910965,97.612,23.74694,8.138323,67.28359,1.4863372,572.25665,287.61017,384.05096,1.0713644,21.004309,
P070014,poly(2-methyloxirane),CC(C*)O*,CC1CO1,,6.1364202,6.08409,4.4157605,81.33015,6.919571,0.53682935,1.6732396,1.4727542,36.59115,36.676422,2.6963358,3.4165468,2.8949013,2.972514,2.278264,2.8317513,2.7628667,2.9640768,2.4961271,2.6217134,50.643326,5.7388535,6.813141,181.24597,11.751574,98.910965,97.612,23.74694,8.138323,67.28359,1.4863372,572.25665,287.61017,384.05096,1.0713644,21.004309,
P070015,poly[2-(chloromethyl)oxirane],ClCC(C*)O*,ClCC1CO1,,6.247209,6.240236,4.3646965,83.236786,7.084132,0.55357885,1.6679162,1.4687729,39.440872,39.587055,2.681131,3.4033008,2.8817568,2.9567642,2.2577317,2.8175583,2.7480912,2.949893,2.4710052,2.6017323,51.20484,6.4813156,7.7015266,127.64807,8.458303,65.24739,67.588875,16.466969,5.811534,49.444916,1.5078089,569.8497,282.6296,388.14618,1.1279478,23.31107,
P070017,poly(epibromohydrin),BrCC(C*)O*,BrCC1CO1,,6.18771,6.1728773,4.3367343,84.99501,7.0812564,0.62172604,1.6677547,1.4667594,47.076546,47.20814,2.7322757,3.4548838,2.9812667,3.063031,2.252805,2.908,2.819233,3.0517473,2.4891448,2.6407192,50.960968,5.300621,7.0117226,103.72644,7.4976892,58.998196,63.529583,15.01736,5.2857914,47.891006,1.6067774,558.07336,261.95514,363.07385,1.1902411,27.09534,
P070018,poly(epifluorohydrin),FCC(C*)O*,FCC1CO1,,6.3721256,6.3763165,4.400825,83.98068,7.198155,0.56154144,1.6521769,1.459715,40.189774,40.573612,2.6234124,3.3442674,2.8157198,2.8855705,2.2419043,2.7576468,2.6872857,2.878863,2.432881,2.5505142,53.797256,7.000931,6.299961,123.52356,12.780958,117.271484,115.532745,27.502747,9.170677,79.275955,1.550221,565.8973,277.39108,373.5396,1.101486,22.525917,
P070018,poly(fluoromethylethylene oxide),FCC(C*)O*,FCC1CO1,,6.3721256,6.3763165,4.400825,83.98068,7.198155,0.56154144,1.6521769,1.459715,40.189774,40.573612,2.6234124,3.3442674,2.8157198,2.8855705,2.2419043,2.7576468,2.6872857,2.878863,2.432881,2.5505142,53.797256,7.000931,6.299961,123.52356,12.780958,117.271484,115.532745,27.502747,9.170677,79.275955,1.550221,565.8973,277.39108,373.5396,1.101486,22.525917,
P070019,poly(ethylethylene oxide),CCC(C*)O*,CCC1CO1,,6.181916,6.219118,4.426744,80.02952,6.9315634,0.48457766,1.6624967,1.4654803,34.03706,35.741364,2.667621,3.3781312,2.859608,2.9257123,2.2651772,2.8019714,2.7329195,2.920022,2.4711761,2.5929263,45.427567,5.585701,6.686653,141.45361,13.758094,123.44797,121.32153,29.039494,9.71731,81.620155,1.5160965,566.4675,284.1185,381.79123,1.051276,20.455015,
P070020,poly(butadiene oxide),*CC(O*)C=C,C=CC1CO1,,4.4221587,4.0081897,3.6492293,104.603645,6.3001614,1.6496782,1.8397539,1.5630518,37.883755,38.60261,3.1908262,4.1276402,3.5282252,3.7275708,2.4610994,3.4032185,3.2968602,3.6920512,2.8908646,3.0866492,51.984093,1.8062515,7.519478,198.26404,15.401075,144.94983,139.15524,32.913826,10.882554,92.01927,1.5231274,580.52234,310.78064,423.76154,1.086741,21.976467,
P070022,poly(isobutylene oxide),CC(C)(C*)O*,CC1(C)CO1,,5.976742,6.1056,4.4603543,78.11903,6.665765,0.4659289,1.6460136,1.4504615,24.540003,28.166111,2.602806,3.374861,2.7820313,2.845022,2.2369354,2.7241578,2.6644688,2.8307407,2.4228482,2.5312312,19.87825,9.959137,13.601269,449.02124,32.896526,375.34332,371.82922,81.978615,25.128082,241.2638,1.4055841,585.80145,305.91144,409.8463,1.013612,19.160416,
P070023,poly(2-chloromethyl2-methyloxirane),CC(CCl)(C*)O*,CC1(CCl)CO1,,5.998494,5.9405746,4.2469935,85.58429,6.975862,0.7122774,1.703157,1.483001,44.384377,44.287052,2.7619307,3.5791907,3.0108464,3.1192682,2.2634273,2.92246,2.843795,3.105294,2.5166514,2.6695755,33.625366,7.503296,14.047108,290.17102,5.090158,35.355076,42.68967,9.844524,3.5758123,35.733753,1.4845072,592.8923,310.1817,435.4995,1.2517592,28.919924,
P070024,"poly(1,2-epoxyhexane)",CCCCC(C*)O*,CCCCC1CO1,,5.9900093,6.0168333,4.378228,77.15926,6.784691,0.4890939,1.6698893,1.4697404,31.435493,35.244217,2.7078183,3.4257374,2.9199243,2.9850035,2.2684083,2.8534155,2.780278,2.9808733,2.493427,2.6288037,55.054344,0.0001,0.0001,0.0001,11.486651,87.06776,82.63417,21.531612,7.697523,55.353798,1.5879468,561.3256,267.4541,367.4643,0.99981874,18.463884,
P070025,poly(tert-butylethylene oxide),CC(C)(C)C(C*)O*,CC(C)(C)C1CO1,,5.8478622,6.0077696,4.446683,79.51846,6.551285,0.5046897,1.6587982,1.4586568,18.458754,22.913055,2.5982049,3.379664,2.7532532,2.8324153,2.250878,2.701135,2.6494892,2.8102665,2.432393,2.531995,17.935179,17.413528,19.896698,682.0519,35.44221,400.43884,392.7719,87.43714,26.819435,251.93414,1.3677533,590.111,318.52808,429.60657,0.9632685,17.737165,
P070026,poly(ethyl glycidyl ether),CCOCC(C*)O*,CCOCC1CO1,,6.023182,6.093912,4.382424,85.72983,6.8757935,0.6340507,1.6456661,1.4485877,42.021015,44.86165,2.7088084,3.3705719,2.9485433,2.9918456,2.22904,2.8815427,2.7976112,2.9943914,2.4596093,2.6155777,53.586075,0.0001,3.7941704,0.0001,4.015137,19.645166,22.548681,6.310924,2.632072,19.297909,1.6628491,555.546,240.38275,341.12137,1.1037757,22.579323,
P070027,poly(allyl glycidyl ether),*CC(COCC=C)O*,C=CCOCC1CO1,,6.1445622,5.9320717,4.1965933,93.67603,7.27194,0.93656754,1.7073,1.4918385,46.803654,46.661743,2.8393261,3.540491,3.0866675,3.1871157,2.2952344,3.0024898,2.9250705,3.1694937,2.5910492,2.751161,107.72713,4.4223785,2.7351837,69.0542,1.5929024,5.9254704,7.747204,2.2674408,0.9687459,7.9106197,1.6541941,577.3316,235.3721,338.47635,1.1047953,23.343147,
P070028,poly(neopentylethylene oxide),CC(C)(C)CC(C*)O*,CC(C)(C)CC1CO1,,5.805358,5.9759398,4.4529305,79.303345,6.5045385,0.51065385,1.6652647,1.4626935,16.5961,21.51754,2.6253061,3.3910651,2.7836332,2.8643713,2.2630496,2.7307153,2.6786075,2.8418686,2.453248,2.5593886,19.602324,15.330055,18.059872,612.8092,33.978214,374.37894,363.1363,82.04988,25.41793,231.48593,1.3777274,581.0139,308.83398,420.61963,0.94347584,16.94157,
P070030,"poly(1,2-octene oxide)",CCCCCCC(C*)O*,CCCCCCC1CO1,,6.0195813,6.01793,4.362529,76.77768,6.8405867,0.4959736,1.6595651,1.4644852,31.12151,35.701374,2.6352031,3.3529181,2.8184142,2.8762436,2.2601624,2.7557306,2.6968448,2.8702211,2.4504519,2.5676754,74.17381,0.0001,0.0001,0.0001,8.3393755,52.808395,49.737656,14.044209,5.3752327,34.73501,1.6326212,570.84143,257.9285,357.19318,0.9643624,17.46603,
P070032,poly(phenylethylene oxide),*CC(O*)c1ccccc1,C1OC1c1ccccc1,,4.76835,4.4390507,4.0271473,93.168884,6.06147,1.216924,1.7739733,1.52344,46.821747,42.17259,2.721054,3.532592,2.881611,3.0238903,2.3829262,2.8097284,2.7617905,2.9920752,2.5813072,2.672244,8.782063,41.946857,44.720184,1738.0217,2.171194,13.642421,20.904018,4.146428,1.584255,18.566248,1.3345429,606.6932,333.89484,439.047,1.2238001,27.650661,
P070032,poly(styrene oxide),*CC(O*)c1ccccc1,C1OC1c1ccccc1,,4.76835,4.4390507,4.0271473,93.168884,6.06147,1.216924,1.7739733,1.52344,46.821747,42.17259,2.721054,3.532592,2.881611,3.0238903,2.3829262,2.8097284,2.7617905,2.9920752,2.5813072,2.672244,8.782063,41.946857,44.720184,1738.0217,2.171194,13.642421,20.904018,4.146428,1.584255,18.566248,1.3345429,606.6932,333.89484,439.047,1.2238001,27.650661,
P070033,poly(phenyl glycidyl ether),*CC(COc1ccccc1)O*,C(Oc1ccccc1)C1CO1,,5.1766863,4.9355373,4.177898,90.462234,6.2569327,0.9081781,1.7552499,1.5194173,43.567158,38.966263,2.9243002,3.5200305,3.1054437,3.1991603,2.4056554,3.0454574,2.9838655,3.177352,2.70735,2.8511899,20.244728,37.47603,42.366714,1286.4287,0.6761961,3.3748016,4.3220825,1.0685577,0.47092164,4.6473827,1.3031244,572.90894,295.1084,402.96686,1.2443925,27.384907,
P070034,poly(p-tolyl glycidyl ether),Cc1ccc(OCC(C*)O*)cc1,Cc1ccc(OCC2CO2)cc1,,5.0478907,4.843938,4.1347947,90.35951,6.1729326,0.95141566,1.7716978,1.5304996,41.715992,38.76708,2.930719,3.602919,3.1108997,3.2281594,2.390684,3.0493896,2.992896,3.204989,2.7074897,2.8581328,31.406746,27.907207,32.85995,880.4951,1.3445154,7.9938126,13.366703,2.6354234,0.9839116,12.081974,1.3736075,582.5509,327.65836,443.085,1.1897545,25.793207,
P070035,poly(o-tolyl glycidyl ether),Cc1ccccc1OCC(C*)O*,Cc1ccccc1OCC1CO1,,4.9912047,4.8744435,4.1593585,92.70001,6.159155,1.0285935,1.7509154,1.5210786,33.240276,34.012405,2.947741,3.6267905,3.1599429,3.2698603,2.3914232,3.0925617,3.022009,3.2500854,2.7104843,2.8661263,23.83149,26.317959,31.53851,806.43774,3.061483,15.69838,19.618341,4.9884872,1.9700508,16.815865,1.3971093,567.1808,314.38806,410.10992,1.1145756,22.100376,
P070036,poly(m-tolyl glycidyl ether),Cc1cccc(OCC(C*)O*)c1,Cc1cccc(OCC2CO2)c1,,5.165099,5.0012407,4.1564603,93.043335,6.306172,0.9995074,1.7753716,1.5350125,40.019833,38.337135,2.9685462,3.646544,3.1662478,3.2886546,2.3930445,3.1005619,3.0359035,3.263133,2.728388,2.887959,44.003136,27.618805,30.956013,786.4431,0.7064804,4.079855,8.171108,1.42343,0.5225874,7.7994137,1.3877954,585.7795,316.23932,422.77322,1.1837252,25.17964,
P070037,poly(o-chlorophenyl glycidyl ether),Clc1ccccc1OCC(C*)O*,Clc1ccccc1OCC1CO1,,4.8820496,4.6716833,4.0793414,93.54167,6.1288166,1.0957028,1.7661619,1.5312451,39.55583,39.41229,2.9798625,3.7096028,3.1966155,3.3255146,2.402293,3.1272717,3.0537558,3.300549,2.738673,2.8987603,24.653214,25.524097,32.021706,813.83435,2.1744075,9.940697,13.95599,3.4058447,1.4106531,12.939762,1.4198153,584.7028,318.0793,423.35175,1.1787853,25.019825,
